entity,label,source_url
FIFA,ORG,https://publications.fifa.com/fr/football-stadiums-guidelines/introduction/
Gianni Infantino,PERSON,https://publications.fifa.com/fr/football-stadiums-guidelines/introduction/
II,PERSON,https://publications.fifa.com/fr/football-stadiums-guidelines/introduction/
eleven years,DATE,https://publications.fifa.com/fr/football-stadiums-guidelines/introduction/
WORKING GROUP AND CONTRIBUTORS,ORG,https://publications.fifa.com/fr/football-stadiums-guidelines/introduction/
FIFA WORKING GROUP,ORG,https://publications.fifa.com/fr/football-stadiums-guidelines/introduction/
Colin Smith,PERSON,https://publications.fifa.com/fr/football-stadiums-guidelines/introduction/
Heimo Schirgi,PERSON,https://publications.fifa.com/fr/football-stadiums-guidelines/introduction/
Christian Stiegler,PERSON,https://publications.fifa.com/fr/football-stadiums-guidelines/introduction/
Kaj Heyral,PERSON,https://publications.fifa.com/fr/football-stadiums-guidelines/introduction/
Guy Smith,PERSON,https://publications.fifa.com/fr/football-stadiums-guidelines/introduction/
Kate Filochowski,PERSON,https://publications.fifa.com/fr/football-stadiums-guidelines/introduction/
Alan Ferguson,PERSON,https://publications.fifa.com/fr/football-stadiums-guidelines/introduction/
ARUP,ORG,https://publications.fifa.com/fr/football-stadiums-guidelines/introduction/
HFP,ORG,https://publications.fifa.com/fr/football-stadiums-guidelines/introduction/
Populous,ORG,https://publications.fifa.com/fr/football-stadiums-guidelines/introduction/
The Stadium Consultancy,ORG,https://publications.fifa.com/fr/football-stadiums-guidelines/introduction/
Jaaf Design,PERSON,https://publications.fifa.com/fr/football-stadiums-guidelines/introduction/
Chris Gascoigne,PERSON,https://publications.fifa.com/fr/football-stadiums-guidelines/introduction/
James Ewing,PERSON,https://publications.fifa.com/fr/football-stadiums-guidelines/introduction/
Milton Keynes,ORG,https://publications.fifa.com/fr/football-stadiums-guidelines/introduction/
Dons,ORG,https://publications.fifa.com/fr/football-stadiums-guidelines/introduction/
Morley von Sternberg,PERSON,https://publications.fifa.com/fr/football-stadiums-guidelines/introduction/
Murray Fredericks,PERSON,https://publications.fifa.com/fr/football-stadiums-guidelines/introduction/
Olympique Lyonnais,PERSON,https://publications.fifa.com/fr/football-stadiums-guidelines/introduction/
Patrik Meyer,PERSON,https://publications.fifa.com/fr/football-stadiums-guidelines/introduction/
Singapore Sports Hub,ORG,https://publications.fifa.com/fr/football-stadiums-guidelines/introduction/
matchday,DATE,https://publications.fifa.com/fr/football-stadiums-guidelines/technical-guideline/stadium-guidelines/information-technology/
SER,ORG,https://publications.fifa.com/fr/football-stadiums-guidelines/technical-guideline/stadium-guidelines/information-technology/
IPTV,ORG,https://publications.fifa.com/fr/football-stadiums-guidelines/technical-guideline/stadium-guidelines/information-technology/
Community Access Television,ORG,https://publications.fifa.com/fr/football-stadiums-guidelines/technical-guideline/stadium-guidelines/information-technology/
"FIFA
Fédération Internationale de Football Association",ORG,https://en.wikipedia.org/wiki/FIFA
